ID,Easting,Northing,Altitude,Retro,Angle,Distance,UTC,Long,Lat
16208941,754988.893,3741747.593,303.563,0.769,0.55145,14.725999999999999,62422.287489999995,-84.246142438,33.785187595
16208942,754988.891,3741747.579,303.395,0.765,0.5411600000000001,14.652000000000001,62422.287520000005,-84.24614245800001,33.78518747
16208943,754988.89,3741747.565,303.229,0.769,0.53088,14.582,62422.28755,-84.246142479,33.785187341
16208944,754988.891,3741747.567,303.056,0.776,0.52059,14.494000000000002,62422.28759,-84.246142463,33.785187359
16208945,754988.887,3741747.539,302.902,0.773,0.5103,14.444,62422.28762,-84.246142515,33.785187104
16208946,754988.885,3741747.523,302.741,0.773,0.50002,14.380999999999998,62422.28765,-84.24614253899999,33.785186966
16208947,754988.885,3741747.512,302.58,0.776,0.48973,14.315,62422.28769,-84.246142552,33.785186868000004
16208948,754988.882,3741747.495,302.424,0.78,0.47945,14.259,62422.28772000001,-84.24614258,33.785186709
16208949,754988.881,3741747.482,302.266,0.776,0.46916,14.2,62422.28775,-84.246142599,33.785186591999995
16208950,754988.877,3741747.455,302.117,0.78,0.45888,14.158,62422.28778,-84.24614264600001,33.785186355
16208951,754988.878,3741747.454,301.957,0.78,0.44859,14.091,62422.287820000005,-84.246142639,33.78518634
16208952,754988.875,3741747.431,301.808,0.784,0.43831000000000003,14.049000000000001,62422.28785,-84.24614268,33.785186134
16208953,754988.873,3741747.416,301.656,0.792,0.42803,14.0,62422.287879999996,-84.246142702,33.785186001
16208954,754988.874,3741747.414,301.5,0.784,0.41773999999999994,13.939,62422.28791,-84.246142698,33.78518598
16208955,754988.869,3741747.383,301.357,0.788,0.40746,13.911,62422.28795,-84.24614275399999,33.785185705
16208956,754988.868,3741747.373,301.207,0.784,0.39716999999999997,13.862,62422.287979999994,-84.246142766,33.785185618
16208957,754988.869,3741747.371,301.054,0.824,0.38689,13.807,62422.288010000004,-84.246142762,33.785185595
16208958,754988.869,3741747.366,300.904,0.816,0.37661,13.755999999999998,62422.28805,-84.246142762,33.785185553000005
16208959,754988.865,3741747.337,300.763,0.804,0.36632,13.732999999999999,62422.28808,-84.246142814,33.785185296
16208960,754988.866,3741747.338,300.613,0.804,0.35604,13.68,62422.28811,-84.246142804,33.785185303
16208961,754988.859,3741747.293,300.479,0.812,0.34576,13.679,62422.28814,-84.246142892,33.785184898000004
16208962,754988.859,3741747.29,300.332,0.804,0.33547,13.633,62422.288179999996,-84.24614288800001,33.785184873
16208963,754988.856,3741747.266,300.192,0.812,0.32519000000000003,13.612,62422.28821,-84.246142932,33.785184654
16208964,754988.857,3741747.268,300.045,0.812,0.31490999999999997,13.564,62422.288239999994,-84.246142917,33.785184677
16209063,754989.041,3741747.699,304.378,0.729,0.61315,14.805,62422.300610000006,-84.246140808,33.785188516
16209064,754989.041,3741747.693,304.198,0.761,0.6028600000000001,14.709000000000001,62422.30065,-84.246140811,33.785188455
16209065,754989.039,3741747.675,304.029,0.757,0.5925699999999999,14.63,62422.30067999999,-84.246140841,33.785188292
16209066,754989.034,3741747.643,303.871,0.761,0.58229,14.57,62422.30071,-84.246140899,33.785188006999995
