pic_id,easting,northing,altitude,long,lat
6513,756289.236,3739910.3,290.788,-84.23264584,33.76832184
6514,756289.878,3739905.414,290.894,-84.23264033,33.76827767
6515,756290.66,3739900.349,291,-84.23263337,33.76823185
6516,756291.283,3739895.461,291.105,-84.23262806,33.76818767
6517,756291.903,3739890.578,291.2,-84.23262279,33.76814353
6518,756292.53,3739885.528,291.217,-84.23261749,33.76809788
6519,756293.15,3739880.665,291.323,-84.23261221,33.76805392
6520,756293.771,3739875.751,291.428,-84.23260694,33.7680095
6521,756294.397,3739870.731,291.534,-84.23260164,33.76796413
6522,756294.958,3739865.793,291.6,-84.23259702,33.76791951
6523,756295.416,3739860.837,291.645,-84.23259352,33.76787475
6524,756295.952,3739855.88,291.75,-84.23258917,33.76782996
6525,756296.486,3739850.945,291.855,-84.23258484,33.76778538
6526,756296.933,3739846.344,291.96,-84.23258135,33.76774382
6527,756297.385,3739841.554,292,-84.23257787,33.76770056
6528,756297.842,3739836.54,292.069,-84.23257439,33.76765528
6529,756298.297,3739831.66,292.173,-84.2325709,33.76761121
6530,756298.631,3739826.718,292.277,-84.23256872,33.7675666
6531,756299.051,3739821.726,292.381,-84.23256564,33.76752153
6532,756299.507,3739816.735,292.485,-84.23256217,33.76747646
6533,756299.824,3739811.765,292.589,-84.23256019,33.76743161
6534,756300.119,3739806.771,292.6,-84.23255846,33.76738655
6535,756300.412,3739801.801,292.696,-84.23255674,33.7673417
6536,756300.704,3739796.853,292.799,-84.23255502,33.76729706
6537,756300.993,3739791.907,292.902,-84.23255334,33.76725243
6538,756301.126,3739786.956,293,-84.23255334,33.7672078
6539,756301.258,3739782.029,293.008,-84.23255334,33.76716338
6540,756301.391,3739777.084,293.11,-84.23255334,33.7671188
6541,756301.527,3739772.015,293.212,-84.23255334,33.7670731
6542,756301.659,3739767.112,293.314,-84.23255334,33.7670289
6543,756301.791,3739762.179,293.4,-84.23255334,33.76698443
6544,756301.927,3739757.121,293.418,-84.23255334,33.76693883
6545,756302.058,3739752.243,293.52,-84.23255334,33.76689485
6546,756302.19,3739747.325,293.621,-84.23255334,33.76685051
